Team,Rank,Win Percentage,Roster,26-Man Payroll,Injured Reserve,Retained,Burried,Suspended,2021 Total Payroll
Los Angeles Dodgers ,1,0.654,28,"$174,661,542 ","$43,530,833 ","$2,150,521 ","$24,070,000 ",-,"$267,200,832 "
New York Yankees ,2,0.568,28,"$141,147,646 ","$48,217,362 ","$9,779,712 ","$14,181,875 ",-,"$203,319,863 "
New York Mets ,3,0.475,28,"$154,565,754 ","$33,933,570 ","$8,124,946 ","$12,006,000 ",-,"$199,789,189 "
Houston Astros ,4,0.586,28,"$147,127,725 ","$39,870,546 ","$4,134,205 ","$7,547,600 ",-,"$194,472,041 "
Boston Red Sox ,5,0.568,28,"$142,364,438 ","$2,832,729 ","$37,853,451 ","$10,227,500 ",-,"$184,491,449 "
Philadelphia Phillies ,6,0.506,28,"$145,865,917 ","$19,936,225 ","$12,291,556 ","$10,533,500 ",-,"$183,852,734 "
Los Angeles Angels ,7,0.475,28,"$30,467,086 ","$100,777,679 ","$46,663,119 ","$8,254,500 ",-,"$180,349,558 "
San Diego Padres ,8,0.488,28,"$125,977,584 ","$49,745,500 ","$1,046,516 ","$6,926,300 ",-,"$178,264,272 "
St. Louis Cardinals ,9,0.556,28,"$136,018,560 ","$14,512,682 ","$17,259,129 ","$5,171,100 ",-,"$168,969,994 "
San Francisco Giants ,10,0.66,28,"$134,386,796 ","$19,766,740 ","$4,958,219 ","$16,549,200 ",-,"$163,890,308 "
Toronto Blue Jays ,11,0.562,28,"$108,402,749 ","$8,853,529 ","$28,315,121 ","$9,968,100 ",-,"$150,140,253 "
Atlanta Braves ,12,0.547,28,"$106,964,415 ","$12,001,950 ","$12,159,543 ","$8,925,000 ",-,"$147,487,625 "
Chicago Cubs ,13,0.438,28,"$33,910,889 ","$38,534,396 ","$71,494,409 ","$1,717,500 ",-,"$144,607,670 "
Washington Nationals ,14,0.401,28,"$50,076,145 ","$34,877,122 ","$57,074,581 ","$6,925,200 ",-,"$144,428,436 "
Chicago White Sox ,15,0.574,28,"$125,829,369 ","$3,193,240 ","$10,099,143 ","$5,997,000 ",-,"$140,926,169 "
Cincinnati Reds ,16,0.512,28,"$84,640,759 ","$35,531,500 ","$4,226,409 ","$5,156,000 ",-,"$125,902,769 "
Minnesota Twins ,17,0.451,28,"$83,609,495 ","$13,198,044 ","$17,383,164 ","$9,234,500 ",-,"$117,533,551 "
Colorado Rockies ,18,0.46,28,"$79,895,422 ","$5,931,272 ","$17,571,956 ","$7,398,500 ",-,"$114,408,966 "
Milwaukee Brewers ,19,0.586,28,"$79,937,621 ","$3,109,474 ","$8,266,654 ","$12,221,766 ",-,"$97,377,415 "
Texas Rangers ,20,0.37,28,"$24,843,032 ","$7,899,375 ","$58,764,829 ","$9,453,000 ",-,"$95,636,948 "
Oakland Athletics ,21,0.531,28,"$51,710,210 ","$34,397,095 ","$1,250,111 ","$4,158,000 ","$580,500 ","$89,650,598 "
Arizona Diamondbacks ,22,0.321,28,"$52,829,878 ","$9,694,478 ","$23,368,212 ","$8,056,000 ",-,"$88,732,929 "
Kansas City Royals ,23,0.457,28,"$52,514,932 ","$15,758,956 ","$16,711,027 ","$5,147,900 ",-,"$86,565,788 "
Detroit Tigers ,24,0.475,28,"$61,408,153 ","$13,503,703 ","$8,352,752 ","$4,374,100 ",-,"$86,348,945 "
Seattle Mariners ,25,0.556,28,"$57,025,609 ","$16,037,933 ","$6,004,079 ","$8,276,000 ","$570,500 ","$81,837,448 "
Tampa Bay Rays ,26,0.617,28,"$44,288,651 ","$18,352,159 ","$6,218,025 ","$7,136,100 ",-,"$70,836,327 "
Miami Marlins ,27,0.414,28,"$16,304,223 ","$15,489,077 ","$23,940,904 ","$9,320,500 ",-,"$58,157,900 "
Pittsburgh Pirates ,28,0.377,28,"$16,572,841 ","$7,847,255 ","$19,989,602 ","$7,368,500 ",-,"$54,356,609 "
Baltimore Orioles ,29,0.321,28,"$13,838,690 ","$7,682,535 ","$30,378,953 ","$5,737,200 ",-,"$53,755,204 "
Cleveland Indians ,30,0.494,29,"$35,958,341 ","$1,367,760 ","$11,423,544 ","$5,174,000 ",-,"$50,220,534 "
